nombre_pais,iso_pais,year,emision_co2_toneladas
Australia,AUS,2003,369629660
Australia,AUS,2004,383159040
Australia,AUS,2005,386176000
Australia,AUS,2006,392359970
Australia,AUS,2007,399475000
Australia,AUS,2008,404840480
Australia,AUS,2009,407093950
Australia,AUS,2010,405131000
Australia,AUS,2011,403858080
Australia,AUS,2012,406196670
Australia,AUS,2013,399067520
Australia,AUS,2014,392728900
Australia,AUS,2015,401496600
Australia,AUS,2016,410388100
Australia,AUS,2017,413817700
Australia,AUS,2018,415591170
Australia,AUS,2019,415769800
Australia,AUS,2020,399183900
Australia,AUS,2021,389019520
Australia,AUS,2022,384362140
Australia,AUS,2023,382972000
Brasil,BRA,2003,344645000
Brasil,BRA,2004,361434000
Brasil,BRA,2005,364371000
Brasil,BRA,2006,368871000
Brasil,BRA,2007,390573000
Brasil,BRA,2008,412638000
Brasil,BRA,2009,389775000
Brasil,BRA,2010,440269020
Brasil,BRA,2011,462580000
Brasil,BRA,2012,498309000
Brasil,BRA,2013,532418020
Brasil,BRA,2014,557901000
Brasil,BRA,2015,529353020
Brasil,BRA,2016,492748000
Brasil,BRA,2017,498266430
Brasil,BRA,2018,478379100
Brasil,BRA,2019,473389800
Brasil,BRA,2020,445208100
Brasil,BRA,2021,498016860
Brasil,BRA,2022,483840580
Brasil,BRA,2023,486470080
China,CHN,2003,4841118700
China,CHN,2004,5217351000
China,CHN,2005,5882106400
China,CHN,2006,6494330400
China,CHN,2007,6983547400
China,CHN,2008,7501497300
China,CHN,2009,7891078000
China,CHN,2010,8620576000
China,CHN,2011,9532332000
China,CHN,2012,9779292000
China,CHN,2013,9956329000
China,CHN,2014,9990257000
China,CHN,2015,9863457000
China,CHN,2016,9762714000
China,CHN,2017,10006343000
China,CHN,2018,10332993000
China,CHN,2019,10713984000
China,CHN,2020,10905693000
China,CHN,2021,11447913000
China,CHN,2022,11350538000
China,CHN,2023,11902503000
Estados Unidos,USA,2003,6010145300
Estados Unidos,USA,2004,6112655000
Estados Unidos,USA,2005,6132183000
Estados Unidos,USA,2006,6052686000
Estados Unidos,USA,2007,6130123000
Estados Unidos,USA,2008,5915118600
Estados Unidos,USA,2009,5480725500
Estados Unidos,USA,2010,5679715300
Estados Unidos,USA,2011,5546116000
Estados Unidos,USA,2012,5344086000
Estados Unidos,USA,2013,5480156700
Estados Unidos,USA,2014,5528681000
Estados Unidos,USA,2015,5376473000
Estados Unidos,USA,2016,5252932000
Estados Unidos,USA,2017,5212162000
Estados Unidos,USA,2018,5377797000
Estados Unidos,USA,2019,5262145000
Estados Unidos,USA,2020,4714628000
Estados Unidos,USA,2021,5032213000
Estados Unidos,USA,2022,5078871000
Estados Unidos,USA,2023,4911391000
Japon,JPN,2003,1287494900
Japon,JPN,2004,1282894700
Japon,JPN,2005,1290296200
Japon,JPN,2006,1267295400
Japon,JPN,2007,1302996200
Japon,JPN,2008,1232195700
Japon,JPN,2009,1163392600
Japon,JPN,2010,1214798100
Japon,JPN,2011,1264796700
Japon,JPN,2012,1305997700
Japon,JPN,2013,1315297800
Japon,JPN,2014,1263805700
Japon,JPN,2015,1223199400
Japon,JPN,2016,1203184000
Japon,JPN,2017,1187484500
Japon,JPN,2018,1142480900
Japon,JPN,2019,1105478000
Japon,JPN,2020,1040483400
Japon,JPN,2021,1061905300
Japon,JPN,2022,1032686800
Japon,JPN,2023,988784700
Mexico,MEX,2003,435968700
Mexico,MEX,2004,438588450
Mexico,MEX,2005,463431840
Mexico,MEX,2006,474519070
Mexico,MEX,2007,473595230
Mexico,MEX,2008,472981280
Mexico,MEX,2009,460293540
Mexico,MEX,2010,456408960
Mexico,MEX,2011,483301600
Mexico,MEX,2012,501488600
Mexico,MEX,2013,495415100
Mexico,MEX,2014,484044500
Mexico,MEX,2015,479433730
Mexico,MEX,2016,478827740
Mexico,MEX,2017,464406460
Mexico,MEX,2018,468413280
Mexico,MEX,2019,468235650
Mexico,MEX,2020,428940300
Mexico,MEX,2021,446834100
Mexico,MEX,2022,465335650
Mexico,MEX,2023,482623460
Reino Unido,GBR,2003,571618750
Reino Unido,GBR,2004,573429760
Reino Unido,GBR,2005,570338370
Reino Unido,GBR,2006,567845600
Reino Unido,GBR,2007,559566460
Reino Unido,GBR,2008,544932400
Reino Unido,GBR,2009,494107700
Reino Unido,GBR,2010,511904580
Reino Unido,GBR,2011,469713300
Reino Unido,GBR,2012,487476770
Reino Unido,GBR,2013,477611260
Reino Unido,GBR,2014,438807070
Reino Unido,GBR,2015,422460800
Reino Unido,GBR,2016,399430140
Reino Unido,GBR,2017,387367140
Reino Unido,GBR,2018,379729760
Reino Unido,GBR,2019,364753280
Reino Unido,GBR,2020,326263200
Reino Unido,GBR,2021,344510080
Reino Unido,GBR,2022,313834780
Reino Unido,GBR,2023,305146340
Rusia,RUS,2003,1537018400
Rusia,RUS,2004,1543957000
Rusia,RUS,2005,1562576900
Rusia,RUS,2006,1623002000
Rusia,RUS,2007,1623781200
Rusia,RUS,2008,1652064500
Rusia,RUS,2009,1545034400
Rusia,RUS,2010,1632783200
Rusia,RUS,2011,1685909500
Rusia,RUS,2012,1701268400
Rusia,RUS,2013,1640437400
Rusia,RUS,2014,1639959200
Rusia,RUS,2015,1638675300
Rusia,RUS,2016,1634885000
Rusia,RUS,2017,1666121200
Rusia,RUS,2018,1712494300
Rusia,RUS,2019,1705030900
Rusia,RUS,2020,1632929300
Rusia,RUS,2021,1711993300
Rusia,RUS,2022,1802190000
Rusia,RUS,2023,1815924700
Spain,ESP,2003,336332540
Spain,ESP,2004,353011420
Spain,ESP,2005,368338800
Spain,ESP,2006,359654340
Spain,ESP,2007,367400540
Spain,ESP,2008,335888930
Spain,ESP,2009,296501380
Spain,ESP,2010,282938430
Spain,ESP,2011,283800600
Spain,ESP,2012,278061200
Spain,ESP,2013,251941740
Spain,ESP,2014,254181220
Spain,ESP,2015,270740220
Spain,ESP,2016,259624910
Spain,ESP,2017,273579840
Spain,ESP,2018,268589920
Spain,ESP,2019,250596060
Spain,ESP,2020,211842610
Spain,ESP,2021,229069380
Spain,ESP,2022,234657020
Spain,ESP,2023,221615650
Sudafrica,ZAF,2003,404409660
Sudafrica,ZAF,2004,449306980
Sudafrica,ZAF,2005,416201200
Sudafrica,ZAF,2006,446770020
Sudafrica,ZAF,2007,465044600
Sudafrica,ZAF,2008,494698140
Sudafrica,ZAF,2009,474523200
Sudafrica,ZAF,2010,462999680
Sudafrica,ZAF,2011,465907840
Sudafrica,ZAF,2012,458965220
Sudafrica,ZAF,2013,458646560
Sudafrica,ZAF,2014,471964900
Sudafrica,ZAF,2015,446349280
Sudafrica,ZAF,2016,457090050
Sudafrica,ZAF,2017,439995650
Sudafrica,ZAF,2018,434581300
Sudafrica,ZAF,2019,464113900
Sudafrica,ZAF,2020,434066530
Sudafrica,ZAF,2021,425917900
Sudafrica,ZAF,2022,405311740
Sudafrica,ZAF,2023,401893100
